measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,102,United States of America,1,Male,13,40-44 years,477,Brain and central nervous system cancer,1,Number,2015,357.2936229,369.1653392,345.6334635
1,Deaths,102,United States of America,2,Female,13,40-44 years,477,Brain and central nervous system cancer,1,Number,2015,235.8978207,244.6493732,228.8617423
1,Deaths,102,United States of America,1,Male,14,45-49 years,477,Brain and central nervous system cancer,1,Number,2015,531.7174677,547.3191492,513.0385066
1,Deaths,102,United States of America,2,Female,14,45-49 years,477,Brain and central nervous system cancer,1,Number,2015,348.8187197,358.0082856,339.4370247
1,Deaths,102,United States of America,1,Male,22,All ages,477,Brain and central nervous system cancer,1,Number,2015,10958.68338,11216.80987,10496.60489
1,Deaths,102,United States of America,2,Female,22,All ages,477,Brain and central nervous system cancer,1,Number,2015,8685.200757,9060.610635,7995.699117
1,Deaths,163,India,1,Male,12,35-39 years,1008,Eye cancer,1,Number,2014,4.992503958,7.862802432,2.078900357
1,Deaths,163,India,2,Female,12,35-39 years,1008,Eye cancer,1,Number,2014,2.735541341,3.816869155,1.715561009
1,Deaths,163,India,1,Male,13,40-44 years,1008,Eye cancer,1,Number,2014,11.75742055,18.1632474,5.211326956
1,Deaths,163,India,2,Female,13,40-44 years,1008,Eye cancer,1,Number,2014,5.797616434,7.893022302,3.619987979
1,Deaths,163,India,1,Male,14,45-49 years,1008,Eye cancer,1,Number,2014,13.34328958,20.44128456,5.771991219
1,Deaths,163,India,2,Female,14,45-49 years,1008,Eye cancer,1,Number,2014,6.325672186,8.627486107,3.625174553
1,Deaths,163,India,1,Male,22,All ages,1008,Eye cancer,1,Number,2014,452.6269087,624.4942409,262.7600518
1,Deaths,163,India,2,Female,22,All ages,1008,Eye cancer,1,Number,2014,334.6083202,480.405447,192.5025052
1,Deaths,163,India,1,Male,12,35-39 years,1008,Eye cancer,1,Number,2012,4.864097891,7.534213154,2.066782526
1,Deaths,163,India,2,Female,12,35-39 years,1008,Eye cancer,1,Number,2012,2.665797825,3.716245114,1.674205628
1,Deaths,163,India,1,Male,13,40-44 years,1008,Eye cancer,1,Number,2012,11.77592013,17.69850117,5.286152732
1,Deaths,163,India,2,Female,13,40-44 years,1008,Eye cancer,1,Number,2012,5.535296716,7.693718376,3.449351702
1,Deaths,163,India,1,Male,14,45-49 years,1008,Eye cancer,1,Number,2012,12.96922944,19.49210779,5.795627951
1,Deaths,163,India,2,Female,14,45-49 years,1008,Eye cancer,1,Number,2012,6.172590556,8.34487269,3.542881953
1,Deaths,163,India,1,Male,22,All ages,1008,Eye cancer,1,Number,2012,443.5407454,628.7976904,256.8088693
1,Deaths,163,India,2,Female,22,All ages,1008,Eye cancer,1,Number,2012,325.9236332,460.7971887,191.0573705
1,Deaths,102,United States of America,1,Male,12,35-39 years,1008,Eye cancer,1,Number,2012,2.045076815,2.187436575,1.916697543
1,Deaths,102,United States of America,2,Female,12,35-39 years,1008,Eye cancer,1,Number,2012,2.185401158,2.332355435,2.062469176
1,Deaths,102,United States of America,1,Male,13,40-44 years,1008,Eye cancer,1,Number,2012,4.339495911,4.641854732,4.06347144
1,Deaths,102,United States of America,2,Female,13,40-44 years,1008,Eye cancer,1,Number,2012,3.613650422,3.858223413,3.417492533
